Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,87113,2022,1,1,38.3,1,Y
IDCJAC0010,87113,2022,1,2,32.2,1,Y
IDCJAC0010,87113,2022,1,3,21.4,1,Y
IDCJAC0010,87113,2022,1,4,20.9,1,Y
IDCJAC0010,87113,2022,1,5,26,1,Y
IDCJAC0010,87113,2022,1,6,30.3,1,Y
IDCJAC0010,87113,2022,1,7,24.2,1,Y
IDCJAC0010,87113,2022,1,8,21.2,1,Y
IDCJAC0010,87113,2022,1,9,22.3,1,Y
IDCJAC0010,87113,2022,1,10,27.9,1,Y
IDCJAC0010,87113,2022,1,11,27.4,1,Y
IDCJAC0010,87113,2022,1,12,27.5,1,Y
IDCJAC0010,87113,2022,1,13,30.8,1,Y
IDCJAC0010,87113,2022,1,14,34.4,1,Y
IDCJAC0010,87113,2022,1,15,24.8,1,Y
IDCJAC0010,87113,2022,1,16,28.8,1,Y
IDCJAC0010,87113,2022,1,17,24.8,1,Y
IDCJAC0010,87113,2022,1,18,22.7,1,Y
IDCJAC0010,87113,2022,1,19,26.1,1,Y
IDCJAC0010,87113,2022,1,20,27.7,1,Y
IDCJAC0010,87113,2022,1,21,29.7,1,Y
IDCJAC0010,87113,2022,1,22,32.5,1,Y
IDCJAC0010,87113,2022,1,23,32.8,1,Y
IDCJAC0010,87113,2022,1,24,33.5,1,Y
IDCJAC0010,87113,2022,1,25,29.2,1,Y
IDCJAC0010,87113,2022,1,26,34.6,1,Y
IDCJAC0010,87113,2022,1,27,35.1,1,Y
IDCJAC0010,87113,2022,1,28,28.8,1,Y
IDCJAC0010,87113,2022,1,29,22,1,Y
IDCJAC0010,87113,2022,1,30,27.2,1,Y
IDCJAC0010,87113,2022,1,31,31.5,1,Y
IDCJAC0010,87113,2022,2,1,24.8,1,Y
IDCJAC0010,87113,2022,2,2,20.2,1,Y
IDCJAC0010,87113,2022,2,3,19.2,1,Y
IDCJAC0010,87113,2022,2,4,24.1,1,Y
IDCJAC0010,87113,2022,2,5,25.7,1,Y
