Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,81123,2022,1,1,38.2,1,Y
IDCJAC0010,81123,2022,1,2,37.5,1,Y
IDCJAC0010,81123,2022,1,3,30.2,1,Y
IDCJAC0010,81123,2022,1,4,29.8,1,Y
IDCJAC0010,81123,2022,1,5,30.7,1,Y
IDCJAC0010,81123,2022,1,6,27.7,1,Y
IDCJAC0010,81123,2022,1,7,30.9,1,Y
IDCJAC0010,81123,2022,1,8,28.7,1,Y
IDCJAC0010,81123,2022,1,9,32.2,1,Y
IDCJAC0010,81123,2022,1,10,37.1,1,Y
IDCJAC0010,81123,2022,1,11,32.9,1,Y
IDCJAC0010,81123,2022,1,12,33.6,1,Y
IDCJAC0010,81123,2022,1,13,34.2,1,Y
IDCJAC0010,81123,2022,1,14,33.4,1,Y
IDCJAC0010,81123,2022,1,15,31.4,1,Y
IDCJAC0010,81123,2022,1,16,35.7,1,Y
IDCJAC0010,81123,2022,1,17,31.3,1,Y
IDCJAC0010,81123,2022,1,18,27.6,1,Y
IDCJAC0010,81123,2022,1,19,32.3,1,Y
IDCJAC0010,81123,2022,1,20,31.9,1,Y
IDCJAC0010,81123,2022,1,21,31.7,1,Y
IDCJAC0010,81123,2022,1,22,32.4,1,Y
IDCJAC0010,81123,2022,1,23,34.4,1,Y
IDCJAC0010,81123,2022,1,24,35.1,1,Y
IDCJAC0010,81123,2022,1,25,36.2,1,Y
IDCJAC0010,81123,2022,1,26,36.7,1,Y
IDCJAC0010,81123,2022,1,27,32.8,1,Y
IDCJAC0010,81123,2022,1,28,35.2,1,Y
IDCJAC0010,81123,2022,1,29,29.4,1,Y
IDCJAC0010,81123,2022,1,30,32.9,1,Y
IDCJAC0010,81123,2022,1,31,35.3,1,Y
IDCJAC0010,81123,2022,2,1,28.3,1,Y
IDCJAC0010,81123,2022,2,2,22.3,1,Y
IDCJAC0010,81123,2022,2,3,23.3,1,Y
IDCJAC0010,81123,2022,2,4,26.6,1,Y
