Year,Month,Hottest Temperature,Coldest Temperature,Average Temperature,Median Temperature
2022,01,,,,
2022,02,,,,
2022,03,,,,
2022,04,,,,
2022,05,,,,
2022,06,,,,
2022,07,,,,
2022,08,,,,
2022,09,,,,
2022,10,,,,
2022,11,,,,
2022,12,,,,
2022,1,38.3,20.9,28.2774,27.9
2022,2,34.5,19.2,25.0679,24.6
2022,3,33,20.1,24.1935,22.5
2022,4,30,15.1,21.2167,20.45
2022,5,21.9,9.2,16.3161,16.3
2022,6,17.9,12.1,14.4367,14.4
2022,7,18.5,11.5,13.7194,13.5
2022,8,20.3,11.8,15.5903,15.4
2022,9,20.6,13.1,16.3633,16.15
2022,10,24.2,13.8,18.7032,19
2022,11,29.4,13.7,20.0667,19.65
2022,12,38.8,17.6,23.771,23.9
